application_id,sheet_row,latex_spec,responsible,wp_mapping,application_type,software_framework,status_maturity,benchmark_scope,metrics,repository_url,specification_url,discrepancies,required_action
app-feelpp-discr-1,2,chapters/applications/specs/app-feelpp-discr-1.tex,"V. Chabannes; C. Prud'homme","WP1, WP3",extended-mini-app,"Feel++; PETSc",benchmark-ready,"full-system; method-verification; solver-scaling","benchmark-verification; strong-scalability; weak-scalability; io-scaling",https://github.com/numpex/apps-feelpp,,"Sheet names Javier Cladellas as WP7 engineer; LaTeX names Thomas Saigre; Sheet has no tex_url","Confirm engineer and add versioned spec URL; do not infer reproducibility from status"
app-feelpp-distance,3,chapters/applications/specs/app-feelpp-distance.tex,"V. Chabannes; C. Prud'homme",WP1,mini-app,Feel++,benchmark-ready,"multi-node; full-system; solver-scaling","analytical-solution-match; strong-scalability; weak-scalability",https://github.com/numpex/apps-feelpp,,"LaTeX metadata omits Sheet metrics and status","Synchronize metadata and record software commit and latest run"
app-feelpp-nlcrb,4,chapters/applications/specs/app-feelpp-nlcrb.tex,"C. Prud'homme; J. Aghili","WP2, WP1, WP3",extended-mini-app,"Feel++; PETSc; PyTorch",spec-only,"multi-node; multi-gpu","benchmark-verification; basis-size; online-speedup",https://github.com/numpex/apps-feelpp,,"Prototype due 2026-07-01 has passed; no versioned implementation evidence supplied","Owner must update status or document delay and evidence"
app-feelpp-rb,5,chapters/applications/specs/app-feelpp-rb.tex,C. Prud'homme,"WP1, WP2, WP3",extended-mini-app,Feel++,benchmark-ready,multi-node,"benchmark-verification; offline-cost; online-speedup; basis-size; hyper-reduction-efficiency",https://github.com/numpex/apps-feelpp,,"Sheet names Javier Cladellas as WP7 engineer; LaTeX names Thomas Saigre","Confirm engineer and attach raw results and environment"
app-feelpp-io,6,chapters/applications/specs/app-feelpp-io.tex,"V. Chabannes; C. Prud'homme",WP1,mini-app,"Feel++; PETSc",status-missing,scope-missing,metrics-missing,https://github.com/numpex/apps-feelpp,,"LaTeX says WP1/WP6 and benchmark-ready but Sheet says WP1 and leaves status/scope/metrics empty","Resolve WP6 and status conflict in Sheet; retain versioned configs/results as evidence"
app-feelpp-toolbox,7,chapters/applications/specs/app-proposed.tex,"V. Chabannes; C. Prud'homme","WP1, WP3",demonstrator,Feel++,status-missing,scope-missing,metrics-missing,,,"Sheet lacks framework/status/metrics and notes that HiFiMagnet work moved to three dedicated applications","Define residual toolbox scope or supersede explicitly after editorial decision"
app-hpddm-dfn,8,chapters/applications/specs/app-hpddm-dfn.tex,P. Jolivet,WP3,mini-app,"HPDDM; PETSc; MUMPS; PaStiX",benchmark-ready,"solver-scaling; multi-node","strong-scalability; weak-scalability; time-to-solution; io-scaling; relative-error",,,"No repo_url or tex_url in Sheet; LaTeX gives no versioned raw-data location","Provide application repository/configuration and evidence before reproducible claim"
app-freefem-parmmg,9,chapters/applications/specs/app-freefem-parmmg.tex,"P. Jolivet; P.-H. Tournier","WP1, WP3",extended-mini-app,"FreeFEM++; MMG/ParMmg; PETSc; Feel++",benchmark-ready,"multi-node; method-verification; workflow-component","strong-scalability; weak-scalability; io-scaling",,,"No repo_url or tex_url in Sheet; LaTeX expected-results wording is not evidence","Provide executable configuration and raw-data link"
app-zellij,10,chapters/applications/specs/app-proposed.tex,E-G. Talbi,WP5,mini-app,Zellij,brainstorming,not-defined,not-defined,,,"No repository or detailed specification URL","Complete specification and decide benchmark scope"
app-eki,11,chapters/applications/specs/app-proposed.tex,M. Asch,WP4,mini-app,"PETSc; GeoS",spec-only,ensemble-mode,"manufactured-solution; weak-scalability",,,"Sheet assigns only WP4 while LaTeX describes WP1/WP4/WP6 method contributions","WP4 leader must resolve WP mapping and provide repo/spec URL"
app-freefem-shape-opt-fem,12,chapters/applications/specs/app-proposed.tex,Victor Dansac,WP5,type-missing,FreeFEM++,brainstorming,not-defined,not-defined,,,"LaTeX baseline used app-ffpp-shape-opt-fem; Sheet uses app-freefem-shape-opt-fem","Canonicalize LaTeX label to Sheet ID and complete type/specification"
app-scimba-shape-opt-nn,13,chapters/applications/specs/app-proposed.tex,Victor Dansac,WP5,type-missing,Scimba,brainstorming,not-defined,not-defined,,,"Application type and evidence URLs missing","Complete identity and benchmark plan"
